@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}

@data
11,'2017/02/12 17:20:03:544',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
12,'2017/02/12 17:20:03:561',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
13,'2017/02/12 17:20:03:576',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
14,'2017/02/12 17:20:03:601',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
15,'2017/02/12 17:20:03:609',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
16,'2017/02/12 17:20:03:627',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
17,'2017/02/12 17:20:03:643',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
18,'2017/02/12 17:20:03:660',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
19,'2017/02/12 17:20:03:677',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
20,'2017/02/12 17:20:03:693',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
21,'2017/02/12 17:20:03:709',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
22,'2017/02/12 17:20:03:726',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
23,'2017/02/12 17:20:03:743',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
24,'2017/02/12 17:20:03:760',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
25,'2017/02/12 17:20:03:776',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
26,'2017/02/12 17:20:03:792',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
27,'2017/02/12 17:20:03:809',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
28,'2017/02/12 17:20:03:826',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
29,'2017/02/12 17:20:03:842',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
30,'2017/02/12 17:20:03:859',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
31,'2017/02/12 17:20:03:875',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
32,'2017/02/12 17:20:03:892',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
33,'2017/02/12 17:20:03:909',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
34,'2017/02/12 17:20:03:926',1,-151.624954,174.517303,92.213417,0,0,0,-105.813133,172.468201,33.962791,-143.042358,234.732559,34.059601,-115.514679,140.636292,42.820168,-128.062622,134.137436,47.892105,-141.969986,140.91069,53.785294,54891.488281,0.341696,-0.512898,-0.787515,-0.202169,0.778218,-0.594562,0.587685,0.918392,-0.327765,143.042709,69.296532,-66.563972,0,0,0,76.178154,43.785564,-24.226583,43.183258,65.520111,-76.286842,49.218338,61.862072,-105.814377,69.488579,72.984268,-130.700195,91.347015,73.965874,-129.597717,1602.558838,-0.450118,-0.783323,-0.428717,-0.786578,0.575078,-0.2249,-0.521553,1.198005,-1.292304,0,0,1
